trail 1,trail 2,trail 3,trail 4,trail 5,trail 6,trail 7,trail 8,trail 9,trail 10,trail 11,trail 12
1.28346,1.81075,1.81024,1.14227,1.51283,2.11358,1.66135,1.81612,0.82272,2.02009,2.00711,1.7576
1.21095,1.69768,1.5846,1.09109,1.37437,2.00072,1.61674,1.76292,0.79263,1.98815,1.84596,1.69023
0.85436,1.65875,1.48169,0.92048,1.31749,1.94403,1.59713,1.53936,0.7663,1.957,1.6645,1.60458
0.65261,1.64046,1.42989,0.77716,1.25148,1.67586,1.57724,1.51625,0.73271,1.71393,1.61372,1.58223
0.55279,1.61609,1.394,0.69952,1.19054,1.62051,1.35019,1.49019,0.69778,1.65976,1.5758,1.53349
0.50758,1.58596,1.27493,0.6782,0.22244,1.59095,,1.44213,0.64619,1.63336,1.51825,1.43768
0.36341,1.57095,1.25232,0.65602,,1.54124,,1.41313,0.55939,1.57987,1.49794,1.35067
,1.53247,1.2118,0.62178,,1.49475,,1.38327,0,1.54059,1.47424,1.30124
,1.48981,1.10047,0.60689,,1.46681,,1.3628,,1.49658,1.42166,1.26366
,1.45054,0.37972,0.50843,,1.40635,,1.34318,,1.47085,1.37943,0.91194
,1.40924,0.34045,0.37834,,1.34374,,1.32142,,1.4546,1.32398,
,1.36929,0.2829,0.3472,,1.29484,,1.29668,,1.4194,1.2745,
,1.32934,0.21891,0.23758,,1.24647,,1.27152,,1.40382,1.15806,
,1.28465,0.05336,,,1.19891,,1.24976,,1.30649,0.88416,
,1.22874,,,,0.91597,,1.22758,,1.28431,0.82017,
,1.20025,,,,0.54155,,1.2054,,1.26807,0.79072,
,1.17661,,,,0.21857,,1.18152,,1.2315,0.75178,
,1.14221,,,,,,1.15123,,0.90199,0.69724,
,1.11104,,,,,,1.1218,,0.85148,0.64565,
,1.08579,,,,,,1.10005,,0.78188,,
,1.05354,,,,,,1.07659,,0.70638,,
,1.02345,,,,,,0.97777,,0.67019,,
,0.98422,,,,,,0.90575,,0.62212,,
,0.95896,,,,,,0.87781,,,,
,0.86867,,,,,,0.85578,,,,
,0.73325,,,,,,0.81923,,,,
,0.67736,,,,,,0.78806,,,,
,0.60739,,,,,,0.76065,,,,
,0.56815,,,,,,0.73486,,,,
,0.54,,,,,,0.7096,,,,
,0.51953,,,,,,0.68004,,,,
,0.5063,,,,,,0.65264,,,,
,0.4645,,,,,,0.62684,,,,
,0.42782,,,,,,0.60803,,,,
,0.40862,,,,,,0.57471,,,,
,0.38772,,,,,,0.55322,,,,
,0.3681,,,,,,0.52312,,,,
,0.34038,,,,,,0.49088,,,,
,0.3118,,,,,,0.46347,,,,
,0.27426,,,,,,0.43391,,,,
,0.24526,,,,,,0.41403,,,,
,0.22009,,,,,,0.35008,,,,
,0.17915,,,,,,,,,,
,0.15825,,,,,,,,,,
,0.11559,,,,,,,,,,
